"PRODUCT","DRAW NUMBER","DRAW DATE","NUMBER DRAWN 1","NUMBER DRAWN 2","NUMBER DRAWN 3","NUMBER DRAWN 4"
"DGRD",186,"2018-07-30",24,55,86,87
"DGRD",187,"2018-08-02",2,9,29,75
"DGRD",188,"2018-08-06",14,29,68,87
"DGRD",189,"2018-08-09",60,62,80,86
"DGRD",190,"2018-08-13",10,27,81,85
"DGRD",191,"2018-08-16",7,9,10,40
"DGRD",192,"2018-08-20",12,14,34,52
"DGRD",193,"2018-08-23",22,33,54,74
"DGRD",194,"2018-08-27",3,12,43,96
"DGRD",195,"2018-08-30",7,33,54,70
"DGRD",196,"2018-09-03",13,15,60,71
"DGRD",197,"2018-09-06",48,54,70,77
"DGRD",198,"2018-09-10",19,28,41,79
"DGRD",199,"2018-09-13",14,50,51,74
"DGRD",200,"2018-09-17",3,12,68,81
"DGRD",201,"2018-09-20",45,57,86,91
"DGRD",202,"2018-09-24",17,47,64,90
"DGRD",203,"2018-09-27",6,15,83,97
"DGRD",204,"2018-10-01",7,27,49,90
"DGRD",205,"2018-10-04",20,36,56,57
"DGRD",206,"2018-10-08",12,33,45,56
"DGRD",207,"2018-10-11",2,3,22,97
"DGRD",208,"2018-10-15",27,52,56,65
"DGRD",209,"2018-10-18",12,14,43,94
"DGRD",210,"2018-10-22",24,41,69,93
"DGRD",211,"2018-10-25",1,71,76,84
"DGRD",212,"2018-10-29",45,46,51,53
"DGRD",213,"2018-11-01",11,21,31,41
"DGRD",214,"2018-11-05",9,25,76,95
"DGRD",215,"2018-11-08",13,67,76,85
"DGRD",216,"2018-11-12",19,36,42,84
"DGRD",217,"2018-11-15",14,17,39,91
"DGRD",218,"2018-11-19",1,16,25,45
"DGRD",219,"2018-11-22",10,32,43,85
"DGRD",220,"2018-11-26",23,29,71,73
"DGRD",221,"2018-11-29",41,66,77,78
"DGRD",222,"2018-12-03",21,27,30,62
"DGRD",223,"2018-12-06",59,74,75,92
"DGRD",224,"2018-12-10",7,34,39,88
"DGRD",225,"2018-12-13",34,42,45,98
"DGRD",226,"2018-12-17",16,58,90,92
"DGRD",227,"2018-12-20",9,33,75,84
"DGRD",228,"2018-12-24",49,71,78,91
"DGRD",229,"2018-12-27",22,43,81,84
"DGRD",230,"2018-12-31",9,19,33,34
"DGRD",231,"2019-01-03",4,14,39,53
"DGRD",232,"2019-01-07",31,39,43,65
"DGRD",233,"2019-01-10",7,44,48,90
"DGRD",234,"2019-01-14",21,30,47,90
"DGRD",235,"2019-01-17",1,6,24,75
"DGRD",236,"2019-01-21",25,62,73,75
"DGRD",237,"2019-01-24",28,66,87,92
"DGRD",238,"2019-01-28",36,41,61,65
"DGRD",239,"2019-01-31",21,27,73,87
"DGRD",240,"2019-02-04",5,10,41,43
"DGRD",241,"2019-02-07",25,30,47,52
"DGRD",242,"2019-02-11",1,25,46,99
"DGRD",243,"2019-02-14",22,43,55,85
"DGRD",244,"2019-02-18",26,52,63,77
"DGRD",245,"2019-02-21",9,32,74,96
"DGRD",246,"2019-02-25",6,35,82,94
"DGRD",247,"2019-02-28",37,44,65,72
"DGRD",248,"2019-03-04",42,50,84,89
"DGRD",249,"2019-03-07",16,21,30,94
"DGRD",250,"2019-03-11",63,66,86,98
"DGRD",251,"2019-03-14",1,12,20,26
"DGRD",252,"2019-03-18",12,52,66,78
"DGRD",253,"2019-03-21",20,49,58,95
"DGRD",254,"2019-03-25",57,65,67,98
"DGRD",255,"2019-03-28",17,28,79,92
"DGRD",256,"2019-04-01",33,56,58,66
"DGRD",257,"2019-04-04",12,32,77,93
"DGRD",258,"2019-04-08",13,15,19,89
"DGRD",259,"2019-04-11",37,50,72,78
"DGRD",260,"2019-04-15",58,59,69,96
"DGRD",261,"2019-04-18",12,18,42,83
"DGRD",262,"2019-04-22",48,73,82,97
"DGRD",263,"2019-04-25",6,22,31,54
"DGRD",264,"2019-04-29",15,21,37,69
"DGRD",265,"2019-05-02",1,24,42,45
"DGRD",266,"2019-05-06",61,70,95,98
"DGRD",267,"2019-05-09",53,56,75,86
"DGRD",268,"2019-05-13",41,44,74,91
"DGRD",269,"2019-05-16",28,74,85,94
"DGRD",270,"2019-05-20",22,38,55,91
"DGRD",271,"2019-05-23",1,5,12,94
"DGRD",272,"2019-05-27",2,76,93,99
"DGRD",273,"2019-05-30",11,32,70,93
"DGRD",274,"2019-06-03",36,49,51,72
"DGRD",275,"2019-06-06",42,55,62,78
"DGRD",276,"2019-06-10",5,50,70,78
"DGRD",277,"2019-06-13",34,35,61,75
"DGRD",278,"2019-06-17",22,51,52,80
"DGRD",279,"2019-06-20",1,53,59,85
"DGRD",280,"2019-06-24",2,35,41,67
